epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1351.95,1.14246,0.98917,1.20485,0.88257,0.86151,0.9154,0.63053,1.19069,0.82567,1.21949,0.007866,0.007866,0.007866
99,1364.07,1.12789,0.98112,1.19573,0.92702,0.8799,0.94701,0.6609,1.13451,0.75877,1.16785,0.007844,0.007844,0.007844
100,1376.2,1.11843,0.97102,1.18297,0.92626,0.84817,0.92935,0.63198,1.19875,0.82042,1.20345,0.007822,0.007822,0.007822
101,1388.3,1.13363,0.97509,1.20348,0.90044,0.87917,0.9406,0.64488,1.19138,0.81008,1.19205,0.0078,0.0078,0.0078
102,1400.46,1.12421,0.96336,1.18316,0.93141,0.90075,0.94685,0.65152,1.19559,0.78398,1.21179,0.007778,0.007778,0.007778
103,1412.6,1.12009,0.97165,1.18793,0.91267,0.88307,0.93795,0.64735,1.20257,0.79958,1.21595,0.007756,0.007756,0.007756
104,1424.77,1.10808,0.95824,1.18995,0.92576,0.87723,0.93996,0.6476,1.16095,0.78741,1.18948,0.007734,0.007734,0.007734
105,1436.84,1.11192,0.94869,1.18341,0.92494,0.8859,0.94192,0.64746,1.16333,0.79267,1.19054,0.007712,0.007712,0.007712
106,1449.1,1.09255,0.94386,1.17346,0.93212,0.8748,0.93071,0.64294,1.1667,0.77827,1.18724,0.00769,0.00769,0.00769
107,1461.2,1.11368,0.94764,1.18876,0.9217,0.91296,0.94843,0.6492,1.16239,0.77598,1.18414,0.007668,0.007668,0.007668
108,1473.46,1.11949,0.94494,1.18888,0.91832,0.87441,0.92763,0.63546,1.16198,0.7759,1.1815,0.007646,0.007646,0.007646
109,1485.66,1.09776,0.93509,1.17575,0.93129,0.91357,0.94773,0.63936,1.19077,0.76454,1.20338,0.007624,0.007624,0.007624
110,1497.98,1.09938,0.94478,1.17737,0.92059,0.90196,0.94515,0.64827,1.17309,0.77513,1.19207,0.007602,0.007602,0.007602
111,1510.08,1.10192,0.94016,1.18338,0.89887,0.85513,0.91562,0.63304,1.17058,0.78958,1.19861,0.00758,0.00758,0.00758
112,1522.3,1.10655,0.95259,1.18108,0.92468,0.90841,0.94874,0.65586,1.13999,0.75291,1.16955,0.007558,0.007558,0.007558
113,1534.37,1.09169,0.92832,1.17056,0.91059,0.90813,0.94107,0.65233,1.16382,0.76004,1.18974,0.007536,0.007536,0.007536
114,1546.46,1.08825,0.93176,1.1757,0.93277,0.90723,0.94945,0.65156,1.16933,0.72318,1.19833,0.007514,0.007514,0.007514
