epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1077.16,1.14846,1.03645,1.20853,0.86989,0.8817,0.91091,0.57983,1.2031,0.89031,1.23841,0.00794575,0.00794575,0.00794575
85,1089.79,1.14612,0.99902,1.19152,0.88616,0.88415,0.92014,0.59441,1.19151,0.84866,1.22712,0.007921,0.007921,0.007921
86,1102.33,1.13886,1.01387,1.20759,0.87327,0.86606,0.91557,0.58851,1.22765,0.88754,1.25315,0.00789625,0.00789625,0.00789625
87,1114.83,1.13712,1.01367,1.20617,0.8944,0.89893,0.9251,0.60236,1.2177,0.8743,1.24988,0.0078715,0.0078715,0.0078715
88,1127.44,1.12809,0.98801,1.1918,0.88481,0.87772,0.90864,0.59413,1.19133,0.83878,1.24719,0.00784675,0.00784675,0.00784675
89,1140.07,1.15212,1.00782,1.20055,0.84862,0.86389,0.8842,0.57561,1.19918,0.88163,1.22788,0.007822,0.007822,0.007822
90,1152.78,1.13635,0.99477,1.20275,0.86457,0.83463,0.91471,0.60738,1.1703,0.86701,1.18909,0.00779725,0.00779725,0.00779725
91,1165.43,1.12206,0.98672,1.19426,0.86859,0.88683,0.91234,0.60358,1.1898,0.8446,1.2462,0.0077725,0.0077725,0.0077725
92,1178.07,1.13113,0.97869,1.19032,0.87054,0.88962,0.91934,0.60409,1.22114,0.87597,1.25419,0.00774775,0.00774775,0.00774775
93,1190.51,1.11971,0.96857,1.19138,0.87846,0.87066,0.89886,0.59511,1.23633,0.89977,1.27861,0.007723,0.007723,0.007723
94,1203.25,1.11216,0.98098,1.18858,0.67172,0.51534,0.56872,0.29057,1.7926,1.95104,1.86091,0.00769825,0.00769825,0.00769825
95,1216.19,1.12813,0.97179,1.19145,0.86911,0.87784,0.90788,0.61292,1.16185,0.8356,1.20095,0.0076735,0.0076735,0.0076735
96,1228.94,1.1453,0.97509,1.1944,0.89194,0.86724,0.92748,0.60774,1.1604,0.80871,1.21714,0.00764875,0.00764875,0.00764875
97,1241.61,1.11512,0.95927,1.18599,0.8841,0.86971,0.92174,0.63126,1.15595,0.82355,1.22462,0.007624,0.007624,0.007624
98,1254.28,1.10023,0.94517,1.17973,0.8975,0.88956,0.93023,0.62943,1.16862,0.81951,1.23027,0.00759925,0.00759925,0.00759925
99,1267.06,1.12272,0.9576,1.18924,0.87634,0.87993,0.92129,0.61733,1.14283,0.83832,1.23386,0.0075745,0.0075745,0.0075745
100,1279.7,1.1136,0.9517,1.18314,0.88196,0.89106,0.92342,0.59968,1.149,0.7961,1.2184,0.00754975,0.00754975,0.00754975
101,1292.38,1.11318,0.95698,1.18782,0.87359,0.87176,0.91439,0.60249,1.18087,0.79113,1.23221,0.007525,0.007525,0.007525
102,1304.95,1.10897,0.95353,1.184,0.89355,0.87974,0.9245,0.61901,1.14875,0.81482,1.19408,0.00750025,0.00750025,0.00750025
103,1317.51,1.1145,0.96721,1.19408,0.88685,0.81274,0.89368,0.58689,1.22966,0.87191,1.26988,0.0074755,0.0074755,0.0074755
104,1330.2,1.12211,0.97938,1.18436,0.83845,0.86832,0.91156,0.59829,1.1953,0.85701,1.25643,0.00745075,0.00745075,0.00745075
105,1342.71,1.10543,0.94178,1.17878,0.89657,0.87434,0.92536,0.60848,1.16328,0.80783,1.20997,0.007426,0.007426,0.007426
106,1355.36,1.10117,0.94748,1.17056,0.87074,0.84523,0.91121,0.61191,1.20205,0.83518,1.2309,0.00740125,0.00740125,0.00740125
107,1367.9,1.09169,0.93776,1.17888,0.87793,0.89686,0.92778,0.63249,1.16255,0.76923,1.21249,0.0073765,0.0073765,0.0073765
108,1380.56,1.12721,0.9662,1.18903,0.91553,0.8964,0.93045,0.62153,1.17606,0.80564,1.20792,0.00735175,0.00735175,0.00735175
109,1393.11,1.09253,0.92768,1.16714,0.91085,0.88995,0.93784,0.62739,1.15161,0.79129,1.21239,0.007327,0.007327,0.007327
110,1405.69,1.11145,0.94358,1.17717,0.89129,0.87841,0.92491,0.61483,1.14971,0.80464,1.20221,0.00730225,0.00730225,0.00730225
111,1418.25,1.09991,0.92968,1.17394,0.89051,0.90845,0.9341,0.62862,1.19606,0.80151,1.25257,0.0072775,0.0072775,0.0072775
112,1430.84,1.07745,0.91307,1.16586,0.89522,0.88739,0.92485,0.62526,1.15275,0.79967,1.2104,0.00725275,0.00725275,0.00725275
